symbol,Total_Orders,Filled_Orders,Fill_Rate,Total_PnL,Avg_PnL,Avg_Vol_Pred,Avg_Discount
MKRUSDT,10,4,0.4,16.766,1.677,0.022,2.191
THETAUSDT,10,3,0.3,15.265,1.527,0.022,2.199
SNXUSDT,10,3,0.3,12.159,1.216,0.022,2.185
NEOUSDT,10,3,0.3,10.613,1.061,0.022,2.193
BATUSDT,10,3,0.3,10.468,1.047,0.022,2.196
BCHUSDT,10,4,0.4,9.499,0.95,0.022,2.191
ZRXUSDT,10,2,0.2,8.153,0.815,0.022,2.193
DOTUSDT,10,2,0.2,8.116,0.812,0.022,2.197
QTUMUSDT,10,2,0.2,7.598,0.76,0.022,2.191
ZILUSDT,10,2,0.2,7.594,0.759,0.022,2.196
KNCUSDT,10,4,0.4,7.441,0.744,0.022,2.191
BANDUSDT,10,3,0.3,7.257,0.726,0.022,2.192
SXPUSDT,10,2,0.2,7.141,0.714,0.022,2.189
IOTAUSDT,10,2,0.2,6.955,0.696,0.022,2.192
EOSUSDT,10,3,0.3,6.867,0.687,0.022,2.194
BNBUSDT,10,2,0.2,6.575,0.658,0.022,2.203
ETHUSDT,10,2,0.2,6.493,0.649,0.021,2.125
COMPUSDT,10,2,0.2,6.338,0.634,0.022,2.189
XMRUSDT,10,3,0.3,6.055,0.605,0.022,2.185
DASHUSDT,10,2,0.2,5.875,0.587,0.022,2.193
RLCUSDT,10,1,0.1,5.835,0.583,0.022,2.187
IOSTUSDT,10,2,0.2,5.828,0.583,0.022,2.199
ONTUSDT,10,2,0.2,5.774,0.577,0.022,2.198
XTZUSDT,10,3,0.3,5.741,0.574,0.022,2.192
ZECUSDT,10,2,0.2,4.754,0.475,0.022,2.193
ADAUSDT,10,2,0.2,4.667,0.467,0.022,2.182
VETUSDT,10,1,0.1,3.729,0.373,0.022,2.204
ATOMUSDT,10,2,0.2,3.551,0.355,0.022,2.186
KAVAUSDT,10,1,0.1,3.156,0.316,0.022,2.194
XLMUSDT,10,1,0.1,3.122,0.312,0.022,2.192
DOGEUSDT,10,1,0.1,2.445,0.245,0.022,2.185
LINKUSDT,10,2,0.2,1.95,0.195,0.022,2.202
ALGOUSDT,10,1,0.1,1.853,0.185,0.022,2.192
LTCUSDT,10,0,0.0,0.0,0.0,0.022,2.189
TRXUSDT,10,0,0.0,0.0,0.0,0.022,2.188
ETCUSDT,10,0,0.0,0.0,0.0,0.022,2.189
XRPUSDT,10,0,0.0,0.0,0.0,0.022,2.184
BTCUSDT,10,0,0.0,0.0,0.0,0.022,2.189
